Entity,Year,production_tonnes
Panama,1993,9766
Panama,1994,10400
Panama,1995,11702
Panama,1996,11113
Panama,1997,10527
Panama,1998,11435
Panama,1999,12024
Panama,2000,10255
Panama,2001,15074
Panama,2002,11390
Panama,2003,11587
Panama,2004,12779
Panama,2005,13153
Panama,2006,12844
Panama,2007,13790
Panama,2008,13324
Panama,2009,12961
Panama,2010,12470
Panama,2011,9826
Panama,2012,10049
Panama,2013,7096
Panama,2014,6688
Panama,2015,7464
Panama,2016,6135
Panama,2017,6588
Panama,2018,6729
Papua New Guinea,1961,2520
Papua New Guinea,1962,4140
Papua New Guinea,1963,5280
Papua New Guinea,1964,7500
Papua New Guinea,1965,9240
Papua New Guinea,1966,11700
Papua New Guinea,1967,15720
Papua New Guinea,1968,14570
Papua New Guinea,1969,21478
Papua New Guinea,1970,27495
Papua New Guinea,1971,26967
Papua New Guinea,1972,29015
Papua New Guinea,1973,34798
Papua New Guinea,1974,34084
Papua New Guinea,1975,36945
Papua New Guinea,1976,39466
Papua New Guinea,1977,38224
Papua New Guinea,1978,45945
Papua New Guinea,1979,49532
Papua New Guinea,1980,54762
Papua New Guinea,1981,49837
Papua New Guinea,1982,41108
Papua New Guinea,1983,55894
Papua New Guinea,1984,43675
Papua New Guinea,1985,56206
Papua New Guinea,1986,44310
Papua New Guinea,1987,62520
Papua New Guinea,1988,62000
Papua New Guinea,1989,65640
Papua New Guinea,1990,60000
Papua New Guinea,1991,47220
Papua New Guinea,1992,50460
Papua New Guinea,1993,63540
Papua New Guinea,1994,67136
Papua New Guinea,1995,59589
Papua New Guinea,1996,65091
Papua New Guinea,1997,64524
Papua New Guinea,1998,80940
Papua New Guinea,1999,83040
Papua New Guinea,2000,83000
Papua New Guinea,2001,63720
Papua New Guinea,2002,65100
Papua New Guinea,2003,69300
Papua New Guinea,2004,59820
Papua New Guinea,2005,76080
Papua New Guinea,2006,48420
Papua New Guinea,2007,58080
Papua New Guinea,2008,61680
Papua New Guinea,2009,60240
Papua New Guinea,2010,52220
Papua New Guinea,2011,84870
Papua New Guinea,2012,43620
Papua New Guinea,2013,49680
Papua New Guinea,2014,55667
Papua New Guinea,2015,59153
Papua New Guinea,2016,58700
Papua New Guinea,2017,58332
Papua New Guinea,2018,57965
Paraguay,1961,6000
Paraguay,1962,6180
Paraguay,1963,7140
Paraguay,1964,7200
Paraguay,1965,6018
Paraguay,1966,6510
Paraguay,1967,7110
Paraguay,1968,7340
Paraguay,1969,6090
Paraguay,1970,4310
Paraguay,1971,5810
Paraguay,1972,7660
Paraguay,1973,6930
Paraguay,1974,8480
Paraguay,1975,8340
Paraguay,1976,3910
Paraguay,1977,6000
Paraguay,1978,7200
Paraguay,1979,7560
Paraguay,1980,7800
Paraguay,1981,12856
Paraguay,1982,13865
Paraguay,1983,15031
Paraguay,1984,18359
Paraguay,1985,18134
Paraguay,1986,19070
Paraguay,1987,18276
Paraguay,1988,18335
Paraguay,1989,17605
Paraguay,1990,17576
Paraguay,1991,4519
Paraguay,1992,4850
Paraguay,1993,4950
Paraguay,1994,5002
Paraguay,1995,4008
Paraguay,1996,4024
Paraguay,1997,4823
Paraguay,1998,4752
Paraguay,1999,4726
Paraguay,2000,3586
Paraguay,2001,2751
Paraguay,2002,2434
Paraguay,2003,3085
Paraguay,2004,3353
Paraguay,2005,2900
Paraguay,2006,3040
Paraguay,2007,3100
Paraguay,2008,273
Paraguay,2009,281
Paraguay,2010,370
Paraguay,2011,370
Paraguay,2012,370
Paraguay,2013,382
Paraguay,2014,386
Paraguay,2015,395
Paraguay,2016,395
Paraguay,2017,442
Paraguay,2018,441
Peru,1961,42643
Peru,1962,46356
Peru,1963,48940
Peru,1964,52740
Peru,1965,48264
Peru,1966,52380
Peru,1967,52753
Peru,1968,64652
Peru,1969,68439
Peru,1970,65368
Peru,1971,70587
Peru,1972,70195
Peru,1973,70396
Peru,1974,69855
Peru,1975,65387
Peru,1976,65445
Peru,1977,80190
Peru,1978,88166
Peru,1979,105478
Peru,1980,86177
Peru,1981,79360
Peru,1982,79422
Peru,1983,85637
Peru,1984,83357
Peru,1985,90736
Peru,1986,96054
Peru,1987,98538
Peru,1988,99414
Peru,1989,105753
Peru,1990,81142
Peru,1991,82635
Peru,1992,86519
Peru,1993,85603
Peru,1994,91340
Peru,1995,96697
Peru,1996,106520
Peru,1997,133296
Peru,1998,144763
Peru,1999,167145
Peru,2000,191651
Peru,2001,196232
Peru,2002,212770
Peru,2003,203148
Peru,2004,231447
Peru,2005,188611
Peru,2006,273178
Peru,2007,225992
Peru,2008,273780
Peru,2009,243479
Peru,2010,264605
Peru,2011,331547
Peru,2012,320164
Peru,2013,256241
Peru,2014,222047
Peru,2015,251938
Peru,2016,277760
Peru,2017,337330
Peru,2018,369622
Philippines,1961,32300
Philippines,1962,43100
Philippines,1963,32900
Philippines,1964,39311
Philippines,1965,44145
Philippines,1966,42793
Philippines,1967,44300
Philippines,1968,43862
Philippines,1969,44172
Philippines,1970,49017
Philippines,1971,49500
Philippines,1972,51600
Philippines,1973,50910
Philippines,1974,53031
Philippines,1975,91444
Philippines,1976,80800
Philippines,1977,105100
Philippines,1978,118750
Philippines,1979,115500
Philippines,1980,125285
Philippines,1981,146700
Philippines,1982,171400
Philippines,1983,146927
Philippines,1984,116755
Philippines,1985,135354
Philippines,1986,145301
Philippines,1987,140119
Philippines,1988,141892
Philippines,1989,155900
Philippines,1990,125659
Philippines,1991,125017
Philippines,1992,126832
Philippines,1993,124415
Philippines,1994,123553
Philippines,1995,127412
Philippines,1996,117226
Philippines,1997,120006
Philippines,1998,107802
Philippines,1999,104124
Philippines,2000,107557
Philippines,2001,112271
Philippines,2002,107080
Philippines,2003,106388
Philippines,2004,102865
Philippines,2005,105847
Philippines,2006,104093
Philippines,2007,97877
Philippines,2008,97428
Philippines,2009,96433
Philippines,2010,94536
Philippines,2011,88526
Philippines,2012,88943
Philippines,2013,78634
Philippines,2014,75454
Philippines,2015,72342
Philippines,2016,68823
Philippines,2017,62078
Philippines,2018,60313
Puerto Rico,1961,15876
Puerto Rico,1962,17917
Puerto Rico,1963,14288
Puerto Rico,1964,17010
Puerto Rico,1965,13600
Puerto Rico,1966,12882
Puerto Rico,1967,14742
Puerto Rico,1968,11793
Puerto Rico,1969,9078
Puerto Rico,1970,15422
Puerto Rico,1971,10886
Puerto Rico,1972,12247
Puerto Rico,1973,13698
Puerto Rico,1974,10478
Puerto Rico,1975,11430
Puerto Rico,1976,11428
Puerto Rico,1977,8707
Puerto Rico,1978,11927
Puerto Rico,1979,9526
Puerto Rico,1980,11884
Puerto Rico,1981,13608
Puerto Rico,1982,12973
Puerto Rico,1983,15649
Puerto Rico,1984,12247
Puerto Rico,1985,14061
Puerto Rico,1986,11340
Puerto Rico,1987,15967
Puerto Rico,1988,13154
Puerto Rico,1989,14515
Puerto Rico,1990,12927
Puerto Rico,1991,12701
Puerto Rico,1992,12701
Puerto Rico,1993,15478
Puerto Rico,1994,12700
Puerto Rico,1995,12701
Puerto Rico,1996,12175
Puerto Rico,1997,11567
Puerto Rico,1998,13393
Puerto Rico,1999,7000
Puerto Rico,2000,8250
Puerto Rico,2001,8650
Puerto Rico,2002,7600
Puerto Rico,2003,9308
Puerto Rico,2004,10206
Puerto Rico,2005,7938
Puerto Rico,2006,8000
Puerto Rico,2007,8100
Puerto Rico,2008,7263
Puerto Rico,2009,6929
Puerto Rico,2010,6432
Puerto Rico,2011,6037
Puerto Rico,2012,5629
Puerto Rico,2013,5206
Puerto Rico,2014,4674
Puerto Rico,2015,3369
Puerto Rico,2016,4416
Puerto Rico,2017,3830
Puerto Rico,2018,3872
Rwanda,1961,10500
Rwanda,1962,10000
Rwanda,1963,4700
Rwanda,1964,8100
Rwanda,1965,9998
Rwanda,1966,8603
Rwanda,1967,11157
Rwanda,1968,12015
Rwanda,1969,12399
Rwanda,1970,14240
Rwanda,1971,15245
Rwanda,1972,10602
Rwanda,1973,14160
Rwanda,1974,14062
Rwanda,1975,18045
Rwanda,1976,20334
Rwanda,1977,20684
Rwanda,1978,21994
Rwanda,1979,25500
Rwanda,1980,22600
Rwanda,1981,29200
Rwanda,1982,27200
Rwanda,1983,33500
Rwanda,1984,32500
Rwanda,1985,43000
Rwanda,1986,41348
Rwanda,1987,41797
Rwanda,1988,42666
Rwanda,1989,30591
Rwanda,1990,34680
Rwanda,1991,35000
Rwanda,1992,38824
Rwanda,1993,27510
Rwanda,1994,1274
Rwanda,1995,21952
Rwanda,1996,15285
Rwanda,1997,14830
Rwanda,1998,14268
Rwanda,1999,18800
Rwanda,2000,16098
Rwanda,2001,18366
Rwanda,2002,19427
Rwanda,2003,13805
Rwanda,2004,20017
Rwanda,2005,18597
Rwanda,2006,22223
Rwanda,2007,14683
Rwanda,2008,20724
Rwanda,2009,19372
Rwanda,2010,19319
Rwanda,2011,21820
Rwanda,2012,19995
Rwanda,2013,18346
Rwanda,2014,16379
Rwanda,2015,21808
Rwanda,2016,19189
Rwanda,2017,19231
Rwanda,2018,21548
Saint Lucia,1961,25
Saint Lucia,1962,25
Saint Lucia,1963,25
Saint Lucia,1964,25
Saint Lucia,1965,25
Saint Lucia,1966,25
Saint Lucia,1967,25
Saint Lucia,1968,25
Saint Lucia,1969,24
Saint Lucia,1970,24
Saint Lucia,1971,24
Saint Lucia,1972,24
Saint Lucia,1973,24
Saint Lucia,1974,23
Saint Lucia,1975,22
Saint Lucia,1976,21
Saint Lucia,1977,20
Saint Lucia,1978,19
Saint Lucia,1979,18
Saint Lucia,1980,17
Saint Lucia,1981,12
Saint Lucia,1982,15
Saint Lucia,1983,16
Saint Lucia,1984,17
Saint Lucia,1985,18
Saint Lucia,1986,19
Saint Lucia,1987,20
Saint Lucia,1988,20
Saint Lucia,1989,0
Saint Vincent and the Grenadines,1961,50
Saint Vincent and the Grenadines,1962,50
Saint Vincent and the Grenadines,1963,55
Saint Vincent and the Grenadines,1964,55
Saint Vincent and the Grenadines,1965,60
Saint Vincent and the Grenadines,1966,60
Saint Vincent and the Grenadines,1967,70
Saint Vincent and the Grenadines,1968,70
Saint Vincent and the Grenadines,1969,80
Saint Vincent and the Grenadines,1970,80
Saint Vincent and the Grenadines,1971,90
Saint Vincent and the Grenadines,1972,90
Saint Vincent and the Grenadines,1973,90
Saint Vincent and the Grenadines,1974,100
Saint Vincent and the Grenadines,1975,100
Saint Vincent and the Grenadines,1976,100
Saint Vincent and the Grenadines,1977,100
Saint Vincent and the Grenadines,1978,105
Saint Vincent and the Grenadines,1979,110
Saint Vincent and the Grenadines,1980,115
Saint Vincent and the Grenadines,1981,120
Saint Vincent and the Grenadines,1982,120
Saint Vincent and the Grenadines,1983,130
Saint Vincent and the Grenadines,1984,130
Saint Vincent and the Grenadines,1985,130
Saint Vincent and the Grenadines,1986,140
Saint Vincent and the Grenadines,1987,140
Saint Vincent and the Grenadines,1988,145
Saint Vincent and the Grenadines,1989,145
Saint Vincent and the Grenadines,1990,150
Saint Vincent and the Grenadines,1991,152
Saint Vincent and the Grenadines,1992,155
Saint Vincent and the Grenadines,1993,150
Saint Vincent and the Grenadines,1994,155
Saint Vincent and the Grenadines,1995,160
Saint Vincent and the Grenadines,1996,163
Saint Vincent and the Grenadines,1997,164
Saint Vincent and the Grenadines,1998,173
Saint Vincent and the Grenadines,1999,170
Saint Vincent and the Grenadines,2000,160
Saint Vincent and the Grenadines,2001,155
Saint Vincent and the Grenadines,2002,150
Saint Vincent and the Grenadines,2003,145
Saint Vincent and the Grenadines,2004,150
Saint Vincent and the Grenadines,2005,165
Saint Vincent and the Grenadines,2006,175
Saint Vincent and the Grenadines,2007,180
Saint Vincent and the Grenadines,2008,200
Saint Vincent and the Grenadines,2009,220
Saint Vincent and the Grenadines,2010,200
Saint Vincent and the Grenadines,2011,189
Saint Vincent and the Grenadines,2012,170
Saint Vincent and the Grenadines,2013,175
Saint Vincent and the Grenadines,2014,179
Saint Vincent and the Grenadines,2015,181
Saint Vincent and the Grenadines,2016,180
Saint Vincent and the Grenadines,2017,181
Saint Vincent and the Grenadines,2018,181
Samoa,1961,115
Samoa,1962,130
Samoa,1963,130
Samoa,1964,120
Samoa,1965,135
Samoa,1966,150
Samoa,1967,150
Samoa,1968,150
Samoa,1969,150
Samoa,1970,150
Samoa,1971,150
Samoa,1972,40
Samoa,1973,40
Samoa,1974,40
Samoa,1975,20
Samoa,1976,20
Samoa,1977,20
Samoa,1978,20
Samoa,1979,20
Samoa,1980,20
Samoa,1981,20
Samoa,1982,20
Samoa,1983,20
Samoa,1984,20
Samoa,1985,20
Samoa,1986,20
Samoa,1987,20
Samoa,1988,20
Samoa,1989,20
Samoa,1990,18
Samoa,1991,17
Samoa,1992,16
Samoa,1993,15
Samoa,1994,14
Samoa,1995,13
Samoa,1996,12
Samoa,1997,11
Samoa,1998,10
Samoa,1999,9
Samoa,2000,8
Samoa,2001,8
Samoa,2002,8
Samoa,2003,8
Samoa,2004,8
Samoa,2005,8
Samoa,2006,8
Samoa,2007,8
Samoa,2008,8
Samoa,2009,8
Samoa,2010,10
Samoa,2011,10
Samoa,2012,11
Samoa,2013,11
Samoa,2014,11
Samoa,2015,12
Samoa,2016,12
Samoa,2017,12
Samoa,2018,13
Sao Tome and Principe,1961,258
Sao Tome and Principe,1962,297
Sao Tome and Principe,1963,258
Sao Tome and Principe,1964,197
Sao Tome and Principe,1965,214
Sao Tome and Principe,1966,158
Sao Tome and Principe,1967,175
Sao Tome and Principe,1968,133
Sao Tome and Principe,1969,151
Sao Tome and Principe,1970,125
Sao Tome and Principe,1971,70
Sao Tome and Principe,1972,143
Sao Tome and Principe,1973,61
Sao Tome and Principe,1974,93
Sao Tome and Principe,1975,28
Sao Tome and Principe,1976,45
Sao Tome and Principe,1977,60
Sao Tome and Principe,1978,60
Sao Tome and Principe,1979,60
Sao Tome and Principe,1980,60
Sao Tome and Principe,1981,60
Sao Tome and Principe,1982,60
Sao Tome and Principe,1983,60
Sao Tome and Principe,1984,54
Sao Tome and Principe,1985,14
Sao Tome and Principe,1986,22
Sao Tome and Principe,1987,9
Sao Tome and Principe,1988,31
Sao Tome and Principe,1989,8
Sao Tome and Principe,1990,37
Sao Tome and Principe,1991,11
Sao Tome and Principe,1992,13
Sao Tome and Principe,1993,20
Sao Tome and Principe,1994,22
Sao Tome and Principe,1995,17
Sao Tome and Principe,1996,21
Sao Tome and Principe,1997,45
Sao Tome and Principe,1998,36
Sao Tome and Principe,1999,58
Sao Tome and Principe,2000,18
Sao Tome and Principe,2001,22
Sao Tome and Principe,2002,25
Sao Tome and Principe,2003,23
Sao Tome and Principe,2004,27
Sao Tome and Principe,2005,28
Sao Tome and Principe,2006,30
Sao Tome and Principe,2007,23
Sao Tome and Principe,2008,20
Sao Tome and Principe,2009,18
Sao Tome and Principe,2010,15
Sao Tome and Principe,2011,6
Sao Tome and Principe,2012,6
Sao Tome and Principe,2013,4
Sao Tome and Principe,2014,9
Sao Tome and Principe,2015,11
Sao Tome and Principe,2016,10
Sao Tome and Principe,2017,10
Sao Tome and Principe,2018,10
Saudi Arabia,1961,200
Saudi Arabia,1962,200
Saudi Arabia,1963,200
Saudi Arabia,1964,100
Saudi Arabia,1965,100
Saudi Arabia,1966,100
Saudi Arabia,1967,100
Saudi Arabia,1968,100
Saudi Arabia,1969,120
Saudi Arabia,1970,120
Saudi Arabia,1971,120
Saudi Arabia,1972,243
Saudi Arabia,1973,120
Saudi Arabia,1974,140
Saudi Arabia,1975,160
Saudi Arabia,1976,180
Saudi Arabia,1977,200
Saudi Arabia,1978,220
Saudi Arabia,1979,240
Saudi Arabia,1980,260
Saudi Arabia,1981,300
Saudi Arabia,1982,386
Saudi Arabia,1983,250
Saudi Arabia,1984,150
Saudi Arabia,1985,50
Saudi Arabia,1990,0
Saudi Arabia,1991,0
Saudi Arabia,1992,0
Saudi Arabia,1993,0
Saudi Arabia,1994,0
Saudi Arabia,1995,0
Saudi Arabia,1996,0
Saudi Arabia,1997,0
Saudi Arabia,1998,0
Saudi Arabia,1999,0
Saudi Arabia,2000,0
Saudi Arabia,2001,0
Saudi Arabia,2002,0
Saudi Arabia,2003,0
Saudi Arabia,2004,0
Saudi Arabia,2005,0
Saudi Arabia,2006,0
Saudi Arabia,2007,0
Saudi Arabia,2008,0
Saudi Arabia,2009,0
Saudi Arabia,2010,0
Saudi Arabia,2011,0
Saudi Arabia,2012,0
Saudi Arabia,2013,0
Saudi Arabia,2014,0
Saudi Arabia,2015,0
Saudi Arabia,2016,0
Saudi Arabia,2017,0
Saudi Arabia,2018,0
Sierra Leone,1961,5103
Sierra Leone,1962,2419
Sierra Leone,1963,3958
Sierra Leone,1964,6029
Sierra Leone,1965,3937
Sierra Leone,1966,9593
Sierra Leone,1967,3000
Sierra Leone,1968,4131
Sierra Leone,1969,8257
Sierra Leone,1970,6188
Sierra Leone,1971,9527
Sierra Leone,1972,7297
Sierra Leone,1973,11971
Sierra Leone,1974,3188
Sierra Leone,1975,7416
Sierra Leone,1976,4702
Sierra Leone,1977,10273
Sierra Leone,1978,4367
Sierra Leone,1979,13690
Sierra Leone,1980,10146
Sierra Leone,1981,9288
Sierra Leone,1982,8658
Sierra Leone,1983,16500
Sierra Leone,1984,18000
Sierra Leone,1985,26000
Sierra Leone,1986,23100
Sierra Leone,1987,24200
Sierra Leone,1988,25300
Sierra Leone,1989,25600
Sierra Leone,1990,25800
Sierra Leone,1991,26000
Sierra Leone,1992,26000
Sierra Leone,1993,24700
Sierra Leone,1994,27805
Sierra Leone,1995,25025
Sierra Leone,1996,25000
Sierra Leone,1997,30700
Sierra Leone,1998,25000
Sierra Leone,1999,15350
Sierra Leone,2000,15000
Sierra Leone,2001,16267
Sierra Leone,2002,16705
Sierra Leone,2003,17000
Sierra Leone,2004,18000
Sierra Leone,2005,20000
Sierra Leone,2006,20500
Sierra Leone,2007,21000
Sierra Leone,2008,21200
Sierra Leone,2009,22000
Sierra Leone,2010,26130
Sierra Leone,2011,30449
Sierra Leone,2012,35000
Sierra Leone,2013,36000
Sierra Leone,2014,35181
Sierra Leone,2015,23020
Sierra Leone,2016,31400
Sierra Leone,2017,29867
Sierra Leone,2018,28096
Small island developing States,1961,151765
Small island developing States,1962,167581
Small island developing States,1963,149103
Small island developing States,1964,160762
Small island developing States,1965,142968
Small island developing States,1966,147017
Small island developing States,1967,157540
Small island developing States,1968,144189
Small island developing States,1969,147022
Small island developing States,1970,150282
Small island developing States,1971,155490
Small island developing States,1972,156020
Small island developing States,1973,174145
Small island developing States,1974,169952
Small island developing States,1975,172218
Small island developing States,1976,181107
Small island developing States,1977,169959
Small island developing States,1978,157461
Small island developing States,1979,196682
Small island developing States,1980,204096
Small island developing States,1981,185315
Small island developing States,1982,192106
Small island developing States,1983,207231
Small island developing States,1984,199375
Small island developing States,1985,215992
Small island developing States,1986,199075
Small island developing States,1987,214771
Small island developing States,1988,221572
Small island developing States,1989,224006
Small island developing States,1990,208424
Small island developing States,1991,188043
Small island developing States,1992,163362
Small island developing States,1993,179220
Small island developing States,1994,174257
Small island developing States,1995,175352
Small island developing States,1996,183918
Small island developing States,1997,174086
Small island developing States,1998,206245
Small island developing States,1999,190490
Small island developing States,2000,200080
Small island developing States,2001,170227
Small island developing States,2002,170090
Small island developing States,2003,177942
Small island developing States,2004,168262
Small island developing States,2005,195256
Small island developing States,2006,169726
Small island developing States,2007,198499
Small island developing States,2008,170319
Small island developing States,2009,173662
Small island developing States,2010,150299
Small island developing States,2011,180824
Small island developing States,2012,141997
Small island developing States,2013,161005
Small island developing States,2014,136062
Small island developing States,2015,137377
Small island developing States,2016,143060
Small island developing States,2017,143214
Small island developing States,2018,148527
South America,1961,2843499
South America,1962,2840435
South America,1963,2265522
South America,1964,1682003
South America,1965,2967169
South America,1966,1881179
South America,1967,2156839
South America,1968,1727232
South America,1969,1948056
South America,1970,1476227
South America,1971,2229857
South America,1972,2131211
South America,1973,1633364
South America,1974,2294021
South America,1975,2016161
South America,1976,1071431
South America,1977,1855839
South America,1978,2195287
South America,1979,2319892
South America,1980,2029315
South America,1981,3075215
South America,1982,1989276
South America,1983,2702987
South America,1984,2509880
South America,1985,2871613
South America,1986,2078889
South America,1987,3178506
South America,1988,2415693
South America,1989,2548685
South America,1990,2644690
South America,1991,2778023
South America,1992,2708275
South America,1993,2404515
South America,1994,2400250
South America,1995,2086626
South America,1996,2415419
South America,1997,2268624
South America,1998,2743570
South America,1999,2590317
South America,2000,2869700
South America,2001,2955622
South America,2002,3655180
South America,2003,3000416
South America,2004,3499375
South America,2005,3129569
South America,2006,3705877
South America,2007,3371683
South America,2008,3891551
South America,2009,3278052
South America,2010,3838407
South America,2011,3624957
South America,2012,3916887
South America,2013,3974032
South America,2014,3832742
South America,2015,3804264
South America,2016,4189626
South America,2017,3858296
South America,2018,4725009
South Eastern Asia,1961,145400
South Eastern Asia,1962,161386
South Eastern Asia,1963,186421
South Eastern Asia,1964,173581
South Eastern Asia,1965,197625
South Eastern Asia,1966,202253
South Eastern Asia,1967,220359
South Eastern Asia,1968,217268
South Eastern Asia,1969,238450
South Eastern Asia,1970,255270
South Eastern Asia,1971,251608
South Eastern Asia,1972,251620
South Eastern Asia,1973,223138
South Eastern Asia,1974,226368
South Eastern Asia,1975,288096
South Eastern Asia,1976,309405
South Eastern Asia,1977,330206
South Eastern Asia,1978,372491
South Eastern Asia,1979,420222
South Eastern Asia,1980,461504
South Eastern Asia,1981,503502
South Eastern Asia,1982,502227
South Eastern Asia,1983,502805
South Eastern Asia,1984,482130
South Eastern Asia,1985,512090
South Eastern Asia,1986,583123
South Eastern Asia,1987,607938
South Eastern Asia,1988,637111
South Eastern Asia,1989,679294
South Eastern Asia,1990,724497
South Eastern Asia,1991,726275
South Eastern Asia,1992,788044
South Eastern Asia,1993,798129
South Eastern Asia,1994,862844
South Eastern Asia,1995,921239
South Eastern Asia,1996,977321
South Eastern Asia,1997,1095319
South Eastern Asia,1998,1165700
South Eastern Asia,1999,1303564
South Eastern Asia,2000,1624388
South Eastern Asia,2001,1689144
South Eastern Asia,2002,1630443
South Eastern Asia,2003,1700681
South Eastern Asia,2004,1806425
South Eastern Asia,2005,1720676
South Eastern Asia,2006,1895553
South Eastern Asia,2007,2155645
South Eastern Asia,2008,1984382
South Eastern Asia,2009,1972718
South Eastern Asia,2010,2015640
South Eastern Asia,2011,2129369
South Eastern Asia,2012,2198082
South Eastern Asia,2013,2245483
South Eastern Asia,2014,2305729
South Eastern Asia,2015,2351298
South Eastern Asia,2016,2362451
South Eastern Asia,2017,2484468
South Eastern Asia,2018,2612806
Southern Asia,1961,47202
Southern Asia,1962,49754
Southern Asia,1963,61720
Southern Asia,1964,77695
Southern Asia,1965,67908
Southern Asia,1966,70560
Southern Asia,1967,89988
Southern Asia,1968,67351
Southern Asia,1969,84373
Southern Asia,1970,70925
Southern Asia,1971,118589
Southern Asia,1972,75754
Southern Asia,1973,98104
Southern Asia,1974,95012
Southern Asia,1975,101344
Southern Asia,1976,92876
Southern Asia,1977,112687
Southern Asia,1978,137318
Southern Asia,1979,120588
Southern Asia,1980,161523
Southern Asia,1981,131100
Southern Asia,1982,165279
Southern Asia,1983,146600
Southern Asia,1984,115529
Southern Asia,1985,204400
Southern Asia,1986,128022
Southern Asia,1987,198130
Southern Asia,1988,128300
Southern Asia,1989,221460
Southern Asia,1990,125667
Southern Asia,1991,177861
Southern Asia,1992,188672
Southern Asia,1993,172090
Southern Asia,1994,219056
Southern Asia,1995,191506
Southern Asia,1996,234789
Southern Asia,1997,216385
Southern Asia,1998,238554
Southern Asia,1999,275625
Southern Asia,2000,301862
Southern Asia,2001,311299
Southern Asia,2002,310919
Southern Asia,2003,284573
Southern Asia,2004,278388
Southern Asia,2005,282990
Southern Asia,2006,280760
Southern Asia,2007,294510
Southern Asia,2008,267950
Southern Asia,2009,267978
Southern Asia,2010,295147
Southern Asia,2011,307722
Southern Asia,2012,319985
Southern Asia,2013,324136
Southern Asia,2014,311019
Southern Asia,2015,333364
Southern Asia,2016,354125
Southern Asia,2017,317897
Southern Asia,2018,333940
Southern Europe,1961,5
Southern Europe,1962,5
Southern Europe,1963,5
Southern Europe,1964,5
Southern Europe,1965,6
Southern Europe,1966,8
Southern Europe,1967,8
Southern Europe,1968,8
Southern Europe,1969,7
Southern Europe,1970,8
Southern Europe,1971,6
Southern Europe,1973,6
Southern Europe,1974,6
Southern Europe,1975,8
Southern Europe,1976,8
Southern Europe,1977,8
Southern Europe,1978,9
Southern Europe,1979,9
Southern Europe,1980,9
Southern Europe,1981,4
Southern Europe,1987,11
Southern Europe,1988,13
Southern Europe,1989,14
Southern Europe,1990,9
Southern Europe,1991,7
Southern Europe,1992,5
Southern Europe,1993,5
Southern Europe,1994,5
Spain,1961,5
Spain,1962,5
Spain,1963,5
Spain,1964,5
Spain,1965,6
Spain,1966,8
Spain,1967,8
Spain,1968,8
Spain,1969,7
Spain,1970,8
Spain,1971,6
Spain,1973,6
Spain,1974,6
Spain,1975,8
Spain,1976,8
Spain,1977,8
Spain,1978,9
Spain,1979,9
Spain,1980,9
Spain,1981,4
Spain,1987,11
Spain,1988,13
Spain,1989,14
Spain,1990,9
Spain,1991,7
Spain,1992,5
Spain,1993,5
Spain,1994,5
Sri Lanka,1961,4002
Sri Lanka,1962,3754
Sri Lanka,1963,5520
Sri Lanka,1964,8395
Sri Lanka,1965,7008
Sri Lanka,1966,6660
Sri Lanka,1967,11488
Sri Lanka,1968,10020
Sri Lanka,1969,10943
Sri Lanka,1970,7306
Sri Lanka,1971,8358
Sri Lanka,1972,6806
Sri Lanka,1973,7032
Sri Lanka,1974,8624
Sri Lanka,1975,8838
Sri Lanka,1976,8876
Sri Lanka,1977,10387
Sri Lanka,1978,12318
Sri Lanka,1979,10100
Sri Lanka,1980,11688
Sri Lanka,1981,12500
Sri Lanka,1982,13179
Sri Lanka,1983,16600
Sri Lanka,1984,10500
Sri Lanka,1985,9300
Sri Lanka,1986,5622
Sri Lanka,1987,6030
Sri Lanka,1988,5600
Sri Lanka,1989,6760
Sri Lanka,1990,7567
Sri Lanka,1991,7861
Sri Lanka,1992,8672
Sri Lanka,1993,10090
Sri Lanka,1994,11056
Sri Lanka,1995,11481
Sri Lanka,1996,11760
Sri Lanka,1997,11348
Sri Lanka,1998,10498
Sri Lanka,1999,10580
Sri Lanka,2000,9790
Sri Lanka,2001,10210
Sri Lanka,2002,9780
Sri Lanka,2003,9110
Sri Lanka,2004,7670
Sri Lanka,2005,7240
Sri Lanka,2006,6460
Sri Lanka,2007,6050
Sri Lanka,2008,5450
Sri Lanka,2009,5410
Sri Lanka,2010,5240
Sri Lanka,2011,5320
Sri Lanka,2012,5560
Sri Lanka,2013,5570
Sri Lanka,2014,6089
Sri Lanka,2015,5900
Sri Lanka,2016,5593
Sri Lanka,2017,5431
Sri Lanka,2018,6445
Suriname,1961,342
Suriname,1962,329
Suriname,1963,378
Suriname,1964,380
Suriname,1965,397
Suriname,1966,377
Suriname,1967,431
Suriname,1968,359
Suriname,1969,233
Suriname,1970,207
Suriname,1971,200
Suriname,1972,98
Suriname,1973,89
Suriname,1974,91
Suriname,1975,88
Suriname,1976,76
Suriname,1977,90
Suriname,1978,52
Suriname,1979,59
Suriname,1980,45
Suriname,1981,53
Suriname,1982,44
Suriname,1983,47
Suriname,1984,40
Suriname,1985,35
Suriname,1986,44
Suriname,1987,36
Suriname,1988,39
Suriname,1989,49
Suriname,1990,46
Suriname,1991,55
Suriname,1992,43
Suriname,1993,50
Suriname,1994,42
Suriname,1995,50
Suriname,1996,33
Suriname,1997,16
Suriname,1998,11
Suriname,1999,10
Suriname,2000,4
Suriname,2001,4
Suriname,2002,4
Suriname,2003,5
Suriname,2004,4
Suriname,2005,4
